observ,barrio,calle,altura,institu1,institu3,distanci,edpub,estserv,banco,totrob,mes,totrob2
25,Belgrano,F.D.Roosevelt,a1900,0,0,4,0,0,0,1,8,1
25,Belgrano,F.D.Roosevelt,a1900,0,0,4,0,0,0,0,9,0
25,Belgrano,F.D.Roosevelt,a1900,0,0,4,0,0,0,0,10,0
25,Belgrano,F.D.Roosevelt,a1900,0,0,4,0,0,0,0,11,0
25,Belgrano,F.D.Roosevelt,a1900,0,0,4,0,0,0,0,12,0
25,Belgrano,F.D.Roosevelt,a1900,0,0,4,0,0,0,0,72,0
25,Belgrano,F.D.Roosevelt,a1900,0,0,4,0,0,0,0,73,0
26,Belgrano,F.D.Roosevelt,a2000,0,0,3,0,0,0,0,4,0
26,Belgrano,F.D.Roosevelt,a2000,0,0,3,0,0,0,.25,5,.25
26,Belgrano,F.D.Roosevelt,a2000,0,0,3,0,0,0,.25,6,.25
26,Belgrano,F.D.Roosevelt,a2000,0,0,3,0,0,0,0,7,0
26,Belgrano,F.D.Roosevelt,a2000,0,0,3,0,0,0,.5,8,.5
26,Belgrano,F.D.Roosevelt,a2000,0,0,3,0,0,0,0,9,0
26,Belgrano,F.D.Roosevelt,a2000,0,0,3,0,0,0,0,10,0
26,Belgrano,F.D.Roosevelt,a2000,0,0,3,0,0,0,.25,11,.25
26,Belgrano,F.D.Roosevelt,a2000,0,0,3,0,0,0,0,12,0
26,Belgrano,F.D.Roosevelt,a2000,0,0,3,0,0,0,0,72,0
26,Belgrano,F.D.Roosevelt,a2000,0,0,3,0,0,0,0,73,0
27,Belgrano,F.D.Roosevelt,a2100,0,0,3,0,0,0,.25,4,.25
27,Belgrano,F.D.Roosevelt,a2100,0,0,3,0,0,0,1,5,1
27,Belgrano,F.D.Roosevelt,a2100,0,0,3,0,0,0,1.25,6,1.25
27,Belgrano,F.D.Roosevelt,a2100,0,0,3,0,0,0,0,7,0
27,Belgrano,F.D.Roosevelt,a2100,0,0,3,0,0,0,.75,8,.75
27,Belgrano,F.D.Roosevelt,a2100,0,0,3,0,0,0,0,9,0
27,Belgrano,F.D.Roosevelt,a2100,0,0,3,0,0,0,0,10,0
27,Belgrano,F.D.Roosevelt,a2100,0,0,3,0,0,0,.25,11,.25
27,Belgrano,F.D.Roosevelt,a2100,0,0,3,0,0,0,0,12,0
27,Belgrano,F.D.Roosevelt,a2100,0,0,3,0,0,0,0,72,0
27,Belgrano,F.D.Roosevelt,a2100,0,0,3,0,0,0,0,73,0
28,Belgrano,F.D.Roosevelt,a2200,0,0,3,0,0,0,.25,4,.25
